Label|m|h|Hm0 toe|Tm1,0t|β|ht|Bt|hb|B|cotad|cotaincl|cotau|gf_d|gf_u|gf|D|D50_d|D50_u|Ac|Rc|Gc|Kr|Kt|q
E-30.11|1000.0|0.605|0.1|1.1596837945|0.0|0.605|0.0|0.00625|0.6875|3.0769230769|5.788954635094872|2.8125|0.4|1.0|0.6461538461538462|0.006722706015158845|0.01139937106918239|0.0|0.09375|0.09375|0.0|0|0|1
E-30.12|1000.0|0.651875|0.0675|0.9770750988|0.0|0.651875|0.0|0.053125|0.375|3.0769230769|7.539759818233334|5.9375|0.4|1.0|0.8050632911392406|0.0037035931321816205|0.01139937106918239|0.0|0.046875|0.046875|0.0|0|0|1
E-30.13|1000.0|0.651875|0.07875|1.0316205534|0.0|0.651875|0.0|0.053125|0.375|3.0769230769|7.0833333333242425|5.9375|0.4|1.0|0.7636363636363636|0.004490661330283972|0.01139937106918239|0.0|0.046875|0.046875|0.0|0|0|1
E-30.14|1000.0|0.651875|0.07625|1.0221343874|0.0|0.651875|0.0|0.053125|0.375|3.0769230769|7.176505664868993|5.9375|0.4|1.0|0.772093023255814|0.004329993661937497|0.01139937106918239|0.0|0.046875|0.046875|0.0|0|0|1
E-30.15|1000.0|0.63625|0.07625|1.0387351779|0.0|0.63625|0.0|0.0375|0.375|3.0769230769|6.814351726002473|5.9375|0.4|1.0|0.7392226148409894|0.00495449696646443|0.01139937106918239|0.0|0.0625|0.0625|0.0|0|0|1
E-30.16|1000.0|0.63625|0.088125|1.0956521739|0.0|0.63625|0.0|0.0375|0.375|3.0769230769|6.472404000482664|5.9375|0.4|1.0|0.7081861958266453|0.00554415639480299|0.01139937106918239|0.0|0.0625|0.0625|0.0|0|0|1
E-30.17|1000.0|0.63625|0.099375|1.1644268775|0.0|0.63625|0.0|0.0375|0.375|3.0769230769|6.201568003623781|5.9375|0.4|1.0|0.6836041358936484|0.006011189766171512|0.01139937106918239|0.0|0.0625|0.0625|0.0|0|0|1
E-30.18|1000.0|0.620625|0.0975|1.162055336|0.0|0.620625|0.0|0.021875|0.375|3.0769230769|6.023141204186908|5.9375|0.4|1.0|0.6674094707520891|0.0063188714283211565|0.01139937106918239|0.0|0.078125|0.078125|0.0|0|0|1
E-30.19|1000.0|0.620625|0.08625|1.157312253|0.0|0.620625|0.0|0.021875|0.375|3.0769230769|6.2627432808036145|5.9375|0.4|1.0|0.6891566265060242|0.005905698264757142|0.01139937106918239|0.0|0.078125|0.078125|0.0|0|0|1
E-30.20|1000.0|0.620625|0.110625|1.0932806324|0.0|0.620625|0.0|0.021875|0.375|3.0769230769|5.785482123496671|5.9375|0.4|1.0|0.6458386683738797|0.006728694062603177|0.01139937106918239|0.0|0.078125|0.078125|0.0|0|0|1
E-31.30|50.0|0.24|0.1181|1.4545454545|0.0|0.1|0.12|0.0|0.0|2.0|2.0|2.0|0.4|0.4|0.4|0.057999999999999996|0.057999999999999996|0.057999999999999996|0.18|0.148|0.16|0|0|1
E-31.31|50.0|0.24|0.1265|1.4909090909|0.0|0.1|0.12|0.0|0.0|2.0|2.0|2.0|0.4|0.4|0.39999999999999997|0.057999999999999996|0.057999999999999996|0.057999999999999996|0.18|0.148|0.16|0|0|1
E-31.32|50.0|0.24|0.1372|1.6545454545|0.0|0.1|0.12|0.0|0.0|2.0|2.0|2.0|0.4|0.4|0.4000000000000001|0.057999999999999996|0.057999999999999996|0.057999999999999996|0.18|0.148|0.16|0|0|1
E-31.33|50.0|0.24|0.1265|1.8181818182|0.0|0.1|0.12|0.0|0.0|2.0|2.0|2.0|0.4|0.4|0.39999999999999997|0.057999999999999996|0.057999999999999996|0.057999999999999996|0.18|0.148|0.16|0|0|1
E-31.36|40.0|0.22|0.1177|1.4545454545|0.0|0.1|0.12|0.0|0.0|2.0|2.0|2.0|0.4|0.4|0.4|0.057999999999999996|0.057999999999999996|0.057999999999999996|0.18|0.18|0.256|0|0|1
E-31.37|40.0|0.22|0.1262|1.4909090909|0.0|0.1|0.12|0.0|0.0|2.0|2.0|2.0|0.4|0.4|0.4|0.05799999999999999|0.057999999999999996|0.057999999999999996|0.18|0.18|0.256|0|0|1
E-31.38|40.0|0.22|0.1366|1.6545454545|0.0|0.1|0.12|0.0|0.0|2.0|2.0|2.0|0.4|0.4|0.39999999999999997|0.057999999999999996|0.057999999999999996|0.057999999999999996|0.18|0.18|0.256|0|0|1
E-31.39|40.0|0.22|0.1262|1.8181818182|0.0|0.1|0.12|0.0|0.0|2.0|2.0|2.0|0.4|0.4|0.4|0.05799999999999999|0.057999999999999996|0.057999999999999996|0.18|0.18|0.256|0|0|1
E-31.42|40.0|0.24|0.1176|1.4545454545|0.0|0.12|0.12|0.0|0.0|2.0|2.0|2.0|0.4|0.4|0.4|0.057999999999999996|0.057999999999999996|0.057999999999999996|0.16|0.16|0.256|0|0|1
E-31.43|40.0|0.24|0.1256|1.4909090909|0.0|0.12|0.12|0.0|0.0|2.0|2.0|2.0|0.4|0.4|0.39999999999999997|0.057999999999999996|0.057999999999999996|0.057999999999999996|0.16|0.16|0.256|0|0|1
E-31.44|40.0|0.24|0.1362|1.6545454545|0.0|0.12|0.12|0.0|0.0|2.0|2.0|2.0|0.4|0.4|0.4000000000000001|0.058|0.057999999999999996|0.057999999999999996|0.16|0.16|0.256|0|0|1
E-31.45|40.0|0.24|0.1256|1.8181818182|0.0|0.12|0.12|0.0|0.0|2.0|2.0|2.0|0.4|0.4|0.39999999999999997|0.057999999999999996|0.057999999999999996|0.057999999999999996|0.16|0.16|0.256|0|0|1
E-31.48|40.0|0.24|0.1176|1.4545454545|0.0|0.12|0.16|0.0|0.0|2.0|2.0|2.0|0.4|0.4|0.4|0.05799999999999999|0.057999999999999996|0.057999999999999996|0.14|0.14|0.256|0|0|1
E-31.49|40.0|0.24|0.1256|1.4909090909|0.0|0.12|0.16|0.0|0.0|2.0|2.0|2.0|0.4|0.4|0.39999999999999997|0.057999999999999996|0.057999999999999996|0.057999999999999996|0.14|0.14|0.256|0|0|1
E-31.50|40.0|0.24|0.1362|1.6545454545|0.0|0.12|0.16|0.0|0.0|2.0|2.0|2.0|0.4|0.4|0.4|0.057999999999999996|0.057999999999999996|0.057999999999999996|0.14|0.14|0.256|0|0|1
E-31.51|40.0|0.24|0.1256|1.8181818182|0.0|0.12|0.16|0.0|0.0|2.0|2.0|2.0|0.4|0.4|0.39999999999999997|0.057999999999999996|0.057999999999999996|0.057999999999999996|0.14|0.14|0.256|0|0|1
E-31.52|20.0|0.2083333333|0.109|1.196969697|0.0|0.0833333333|0.0972222222|0.0|0.0|2.0|2.0|2.0|0.4|0.4|0.42333268518167083|0.036842634002282146|0.03833333333333333|0.03833333333333333|0.1111111111|0.1222222222|0.0744444444|0|0|1
E-31.53|20.0|0.2083333333|0.1232|1.7424242424|0.0|0.0833333333|0.0972222222|0.0|0.0|2.0|2.0|2.0|0.4|0.4|0.4217139548148317|0.0369460528868302|0.03833333333333333|0.03833333333333333|0.1111111111|0.1222222222|0.0744444444|0|0|1
E-31.54|20.0|0.2083333333|0.133|1.4545454545|0.0|0.0833333333|0.0972222222|0.0|0.0|2.0|2.0|2.0|0.4|0.4|0.4207218096854237|0.037009439936764595|0.03833333333333333|0.03833333333333333|0.1111111111|0.1222222222|0.0744444444|0|0|1
E-37.3|120.0|0.23|0.11512|1.6252727273|0.0|0.23|0.0|0.056|0.14|3.0|4.6550908822225505|5.0|0.4|0.4|0.39999999999999997|0.05499999999999999|0.055|0.055|0.098|0.098|0.32|0|0|1
E-37.5|120.0|0.23|0.11512|1.6252727273|0.0|0.23|0.0|0.056|0.14|3.0|4.6550908822225505|5.0|0.4|0.4|0.39999999999999997|0.05499999999999999|0.055|0.055|0.098|0.098|0.32|0|0|1
E-37.6|120.0|0.222|0.11696|1.9836363636|0.0|0.222|0.0|0.048|0.14|3.0|4.59181353041501|5.0|0.4|0.4|0.4000000000000001|0.05500000000000001|0.055|0.055|0.106|0.106|0.32|0|0|1
E-37.7|120.0|0.222|0.11384|1.776|0.0|0.222|0.0|0.048|0.14|3.0|4.618731030495737|5.0|0.4|0.4|0.39999999999999997|0.055|0.055|0.055|0.106|0.106|0.32|0|0|1
E-41.2|1000.0|0.5015384615384616|0.14184615384615384|1.8657416047076802|0.0|0.25538461538461543|0.15384615384615385|-0.16|0.5230769230769231|1.25|2.696221981200289|3.0|0.4|0.4|0.39999999999999997|0.04784615384615384|0.047846153846153844|0.047846153846153844|0.23692307692307693|0.23692307692307693|0.15384615384615385|0|0|1
E-41.3|1000.0|0.5015384615384616|0.17661538461538462|2.009260189685194|0.0|0.25538461538461543|0.15384615384615385|-0.16|0.5230769230769231|1.25|2.5605456774984674|3.0|0.4|0.4|0.4000000000000001|0.04784615384615385|0.047846153846153844|0.047846153846153844|0.23692307692307693|0.23692307692307693|0.15384615384615385|0|0|1
E-41.4|1000.0|0.5015384615384616|0.17661538461538462|2.3441368879660596|0.0|0.25538461538461543|0.15384615384615385|-0.16|0.5230769230769231|1.25|2.5605456774984674|3.0|0.4|0.4|0.4000000000000001|0.04784615384615385|0.047846153846153844|0.047846153846153844|0.23692307692307693|0.23692307692307693|0.15384615384615385|0|0|1
E-41.5|1000.0|0.4246153846153846|0.18830769230769231|2.5195484918274658|0.0|0.17846153846153845|0.15384615384615385|-0.23692307692307693|0.5230769230769231|1.25|2.316993464052288|3.0|0.4|0.4|0.4|0.047846153846153844|0.047846153846153844|0.047846153846153844|0.31384615384615383|0.31384615384615383|0.15384615384615385|0|0|1
E-41.6|1000.0|0.5015384615384616|0.19076923076923077|2.50360198238552|0.0|0.25538461538461543|0.15384615384615385|-0.16|0.5230769230769231|1.25|2.507352941176471|3.0|0.4|0.4|0.39999999999999997|0.047846153846153844|0.047846153846153844|0.047846153846153844|0.23692307692307693|0.23692307692307693|0.15384615384615385|0|0|1
E-41.7|1000.0|0.5015384615384616|0.0836923076923077|1.4192393403331927|0.0|0.2861538461538462|0.3076923076923077|-0.16|0.5230769230769231|1.25|1.25|3.0|0.4|0.4|0.4|0.047846153846153844|0.047846153846153844|0.047846153846153844|0.23692307692307693|0.23692307692307693|0.15384615384615385|0|0|1
