Label|m|h|Hm0 toe|Tm1,0t|Tp toe|β|ht|Bt|hb|B|cotad|cotau|gf_d|gf_u|D50_d|D50_u|Ac|Rc|Gc|Kr|Kt|q
A-28.56|200|0.431|0.162|2.014|2.215|0|0.214|0.297|0|0|1.5|1.5|0.4|0.4|0.048|0.048|0.111|0.111|0.141|0|0|1
A-30.1|15|0.45|0.121|1.927|2.12|0|0.45|0|0|0|1.5|1.5|0.4|0.4|0.111|0.111|0.21|0.21|0.4|0|0|1
A-30.2|15|0.45|0.124|1.545|1.7|0|0.45|0|0|0|1.5|1.5|0.4|0.4|0.111|0.111|0.21|0.21|0.4|0|0|1
A-30.3|15|0.45|0.124|1.182|1.3|0|0.45|0|0|0|1.5|1.5|0.4|0.4|0.111|0.111|0.21|0.21|0.4|0|0|1
A-30.4|15|0.74|0.133|1.927|2.12|0|0.74|0|0|0|1.5|1.5|0.4|0.4|0.111|0.111|-0.08|-0.08|0.4|0|0|1
A-30.5|15|0.6|0.148|2.027|2.23|0|0.6|0|0|0|1.5|1.5|0.4|0.4|0.111|0.111|0.06|0.06|0.4|0|0|1
A-30.6|15|0.6|0.15|2.027|2.23|0|0.6|0|0|0|1.5|1.5|0.4|0.4|0.111|0.111|0.06|0.06|0.4|0|0|1
A-30.7|15|0.6|0.146|1.927|2.12|0|0.6|0|0|0|1.5|1.5|0.4|0.4|0.111|0.111|0.06|0.06|0.4|0|0|1
A-30.8|15|0.6|0.147|1.927|2.12|0|0.6|0|0|0|1.5|1.5|0.4|0.4|0.111|0.111|0.06|0.06|0.4|0|0|1
A-30.9|15|0.74|0.161|1.845|2.03|0|0.74|0|0|0|1.5|1.5|0.4|0.4|0.111|0.111|-0.08|-0.08|0.4|0|0|1
A-30.10|15|0.45|0.149|1.391|1.53|0|0.45|0|0|0|1.5|1.5|0.4|0.4|0.111|0.111|0.21|0.21|0.4|0|0|1
A-30.11|15|0.6|0.17|1.845|2.03|0|0.6|0|0|0|1.5|1.5|0.4|0.4|0.111|0.111|0.06|0.06|0.4|0|0|1
A-30.12|15|0.6|0.15|1.391|1.53|0|0.6|0|0|0|1.5|1.5|0.4|0.4|0.111|0.111|0.06|0.06|0.4|0|0|1
A-30.13|15|0.74|0.156|1.391|1.53|0|0.74|0|0|0|1.5|1.5|0.4|0.4|0.111|0.111|-0.08|-0.08|0.4|0|0|1
A-30.14|15|0.74|0.146|1.309|1.44|0|0.74|0|0|0|1.5|1.5|0.4|0.4|0.111|0.111|-0.08|-0.08|0.4|0|0|1
A-30.15|15|0.6|0.146|1.309|1.44|0|0.6|0|0|0|1.5|1.5|0.4|0.4|0.111|0.111|0.06|0.06|0.4|0|0|1
A-30.16|15|0.6|0.146|1.309|1.44|0|0.6|0|0|0|1.5|1.5|0.4|0.4|0.111|0.111|0.06|0.06|0.4|0|0|1
A-30.17|15|0.45|0.164|2.136|2.35|0|0.45|0|0|0|1.5|1.5|0.4|0.4|0.111|0.111|0.21|0.21|0.4|0|0|1
A-30.18|15|0.6|0.154|1.255|1.38|0|0.6|0|0|0|1.5|1.5|0.4|0.4|0.111|0.111|0.06|0.06|0.4|0|0|1
A-30.19|15|0.6|0.174|1.255|1.38|0|0.6|0|0|0|1.5|1.5|0.4|0.4|0.111|0.111|0.06|0.06|0.4|0|0|1
A-30.20|15|0.85|0.153|1.764|1.94|0|0.85|0|0|0|1.5|1.5|0.55|0.55|0.111|0.111|-0.19|-0.19|0.4|0|0|1
