Label|m|h|Hm0 toe|Tm1,0t|β|ht|Bt|hb|B|cotad|cotaincl|cotau|gf_d|gf_u|gf|D|D50_d|D50_u|Ac|Rc|Gc|Kr|Kt|q
E-7.35|1000.0|0.6|0.152|1.5090909090909088|0.0|0.6|0.0|0.0|0.4|3.0|3.877192982456141|3.0|1.0|1.0|1.0|0.0|0.0|0.0|0.242|0.242|0.0|0|0|1
E-7.36|1000.0|0.68|0.099|1.6545454545454545|0.0|0.68|0.0|0.0800000000000001|0.4|3.0|4.346801346801347|3.0|1.0|1.0|1.0|0.0|0.0|0.0|0.16199999999999992|0.16199999999999992|0.0|0|0|1
E-7.37|1000.0|0.6|0.103|2.2545454545454544|0.0|0.6|0.0|0.0|0.4|4.0|5.294498381877023|4.0|1.0|1.0|1.0|0.0|0.0|0.0|0.28|0.28|0.0|0|0|1
E-7.38|1000.0|0.6|0.143|2.009090909090909|0.0|0.6|0.0|0.0|0.4|4.0|4.932400932400932|4.0|1.0|1.0|1.0|0.0|0.0|0.0|0.28|0.28|0.0|0|0|1
E-7.39|1000.0|0.6|0.167|1.8090909090909089|0.0|0.6|0.0|0.0|0.4|4.0|4.798403193612774|4.0|1.0|1.0|1.0|0.0|0.0|0.0|0.28|0.28|0.0|0|0|1
E-7.40|1000.0|0.6|0.183|1.690909090909091|0.0|0.6|0.0|0.0|0.4|4.0|4.728597449908925|4.0|1.0|1.0|1.0|0.0|0.0|0.0|0.28|0.28|0.0|0|0|1
E-7.41|1000.0|0.6|0.198|1.5818181818181818|0.0|0.6|0.0|0.0|0.4|4.0|4.693240901213171|4.0|1.0|1.0|1.0|0.0|0.0|0.0|0.28|0.28|0.0|0|0|1
E-7.43|1000.0|0.6|0.165|1.5818181818181818|0.0|0.6|0.0|0.0|0.4|4.0|4.808080808080808|4.0|1.0|1.0|1.0|0.0|0.0|0.0|0.28|0.28|0.0|0|0|1
E-7.44|1000.0|0.68|0.103|1.6545454545454545|0.0|0.68|0.0|0.08|0.4|4.0|5.294498381877022|4.0|1.0|1.0|1.0|0.0|0.0|0.0|0.2|0.2|0.0|0|0|1
E-7.45|1000.0|0.68|0.135|1.909090909090909|0.0|0.68|0.0|0.08|0.4|4.0|4.9937888198757765|4.0|1.0|1.0|1.0|0.0|0.0|0.0|0.2|0.2|0.0|0|0|1
E-7.46|1000.0|0.68|0.169|1.7727272727272725|0.0|0.68|0.0|0.08|0.4|4.0|4.882028665931642|4.0|1.0|1.0|1.0|0.0|0.0|0.0|0.2|0.2|0.0|0|0|1
E-7.47|1000.0|0.68|0.185|1.6545454545454545|0.0|0.68|0.0|0.08|0.4|4.0|4.837696335078534|4.0|1.0|1.0|1.0|0.0|0.0|0.0|0.2|0.2|0.0|0|0|1
E-7.48|1000.0|0.68|0.167|1.5545454545454545|0.0|0.68|0.0|0.08|0.4|4.0|4.887902330743618|4.0|1.0|1.0|1.0|0.0|0.0|0.0|0.2|0.2|0.0|0|0|1
E-7.49|1000.0|0.76|0.139|2.009090909090909|0.0|0.76|0.0|0.16|0.4|4.0|4.959232613908874|4.0|1.0|1.0|1.0|0.0|0.0|0.0|0.29|0.29|0.0|0|0|1
E-7.50|1000.0|0.76|0.163|1.5818181818181818|0.0|0.76|0.0|0.16|0.4|4.0|4.81799591002045|4.0|1.0|1.0|1.0|0.0|0.0|0.0|0.29|0.29|0.0|0|0|1
E-7.52|1000.0|0.52|0.162|1.6545454545454545|0.0|0.52|0.0|-0.08|0.4|4.0|4.823045267489713|4.0|1.0|1.0|1.0|0.0|0.0|0.0|0.36|0.36|0.0|0|0|1
E-7.53|1000.0|0.68|0.176|1.7727272727272725|0.0|0.68|0.0|0.08|0.4|4.0|4.757575757575758|4.0|1.0|1.0|1.0|0.0|0.0|0.0|0.37|0.37|0.0|0|0|1
E-7.54|1000.0|0.6|0.129|2.5636363636363635|0.0|0.6|0.0|0.0|0.4|4.0|5.033591731266149|4.0|1.0|1.0|1.0|0.0|0.0|0.0|0.28|0.28|0.0|0|0|1
E-7.55|1000.0|0.6|0.168|1.8181818181818181|0.0|0.6|0.0|0.0|0.4|4.0|4.7936507936507935|4.0|1.0|1.0|1.0|0.0|0.0|0.0|0.28|0.28|0.0|0|0|1
E-7.56|1000.0|0.6|0.184|1.690909090909091|0.0|0.6|0.0|0.0|0.4|4.0|4.72463768115942|4.0|1.0|1.0|1.0|0.0|0.0|0.0|0.28|0.28|0.0|0|0|1
E-7.57|1000.0|0.6|0.173|2.009090909090909|0.0|0.6|0.0|0.0|0.4|4.0|4.770712909441233|4.0|1.0|1.0|1.0|0.0|0.0|0.0|0.28|0.28|0.0|0|0|1
E-7.58|1000.0|0.6|0.14|2.2545454545454544|0.0|0.6|0.0|0.0|0.4|4.0|4.952380952380952|4.0|1.0|1.0|1.0|0.0|0.0|0.0|0.28|0.28|0.0|0|0|1
E-7.59|1000.0|0.52|0.144|1.909090909090909|0.0|0.52|0.0|-0.08|1.0|4.0|6.314814814814815|4.0|1.0|1.0|1.0|0.0|0.0|0.0|0.27|0.27|0.0|0|0|1
E-7.60|1000.0|0.52|0.165|1.6545454545454545|0.0|0.52|0.0|-0.08|1.0|4.0|6.02020202020202|4.0|1.0|1.0|1.0|0.0|0.0|0.0|0.27|0.27|0.0|0|0|1
E-7.61|1000.0|0.6|0.102|2.2545454545454544|0.0|0.6|0.0|0.0|1.0|4.0|7.267973856209151|4.0|1.0|1.0|1.0|0.0|0.0|0.0|0.19|0.19|0.0|0|0|1
E-7.62|1000.0|0.6|0.142|2.009090909090909|0.0|0.6|0.0|0.0|1.0|4.0|6.481389578163772|4.0|1.0|1.0|1.0|0.0|0.0|0.0|0.19|0.19|0.0|0|0|1
E-7.63|1000.0|0.6|0.168|1.736363636363636|0.0|0.6|0.0|0.0|1.0|4.0|6.262443438914026|4.0|1.0|1.0|1.0|0.0|0.0|0.0|0.19|0.19|0.0|0|0|1
E-7.64|1000.0|0.6|0.183|1.690909090909091|0.0|0.6|0.0|0.0|1.0|4.0|6.152852529601722|4.0|1.0|1.0|1.0|0.0|0.0|0.0|0.19|0.19|0.0|0|0|1
E-7.65|1000.0|0.6|0.191|1.5818181818181818|0.0|0.6|0.0|0.0|1.0|4.0|6.098635886673661|4.0|1.0|1.0|1.0|0.0|0.0|0.0|0.19|0.19|0.0|0|0|1
E-7.66|1000.0|0.6|0.105|1.690909090909091|0.0|0.6|0.0|0.0|1.0|4.0|7.174603174603174|4.0|1.0|1.0|1.0|0.0|0.0|0.0|0.19|0.19|0.0|0|0|1
E-7.67|1000.0|0.6|0.166|1.5818181818181818|0.0|0.6|0.0|0.0|1.0|4.0|6.277904328018224|4.0|1.0|1.0|1.0|0.0|0.0|0.0|0.19|0.19|0.0|0|0|1
E-7.68|1000.0|0.68|0.172|1.7727272727272725|0.0|0.68|0.0|0.08|1.0|4.0|5.968503937007874|4.0|1.0|1.0|1.0|0.0|0.0|0.0|0.25|0.25|0.0|0|0|1
E-7.69|1000.0|0.68|0.186|1.6545454545454545|0.0|0.68|0.0|0.08|1.0|4.0|5.890359168241966|4.0|1.0|1.0|1.0|0.0|0.0|0.0|0.25|0.25|0.0|0|0|1
E-7.70|1000.0|0.68|0.165|1.5818181818181818|0.0|0.68|0.0|0.08|1.0|4.0|6.02020202020202|4.0|1.0|1.0|1.0|0.0|0.0|0.0|0.25|0.25|0.0|0|0|1
E-7.72|1000.0|0.68|0.141|1.9636363636363636|0.0|0.68|0.0|0.08|1.0|4.0|6.364066193853429|4.0|1.0|1.0|1.0|0.0|0.0|0.0|0.25|0.25|0.0|0|0|1
E-7.73|1000.0|0.73|0.139|1.909090909090909|0.0|0.73|0.0|0.13|1.0|4.0|6.447980416156671|4.0|1.0|1.0|1.0|0.0|0.0|0.0|0.2|0.2|0.0|0|0|1
E-7.74|1000.0|0.73|0.171|1.5818181818181818|0.0|0.73|0.0|0.13|1.0|4.0|6.190580503833516|4.0|1.0|1.0|1.0|0.0|0.0|0.0|0.2|0.2|0.0|0|0|1
E-7.75|1000.0|0.68|0.103|1.6181818181818182|0.0|0.68|0.0|0.08|1.0|4.0|7.780718336483931|4.0|1.0|1.0|1.0|0.0|0.0|0.0|0.11|0.11|0.0|0|0|1
E-11.1|140.0|0.2785714286|0.109|1.5084218514|0.0|0.2785714286|0.0|0.0642857143|0.2857142857|3.25|3.703568870826144|2.5|1.0|1.0|1.0000000000000002|0.0|0.0|0.0|0.1357142857|0.1357142857|0.0|0|0|1
E-11.2|140.0|0.2785714286|0.109|1.5084218514|0.0|0.2785714286|0.0|0.0642857143|0.2857142857|3.25|3.6012996941131497|2.5|1.0|1.0|1.0|0.0|0.0|0.0|0.1642857143|0.1642857143|0.0|0|0|1
E-11.3|140.0|0.2785714286|0.109|1.5084218514|0.0|0.2785714286|0.0|0.0642857143|0.2857142857|3.25|3.703568870826144|2.5|1.0|1.0|1.0000000000000002|0.0|0.0|0.0|0.1357142857|0.1357142857|0.0|0|0|1
E-11.4|140.0|0.2785714286|0.109|1.5084218514|0.0|0.2785714286|0.0|0.0642857143|0.2857142857|3.25|3.6012996941131497|2.5|1.0|1.0|1.0|0.0|0.0|0.0|0.1642857143|0.1642857143|0.0|0|0|1
E-11.5|140.0|0.25|0.107|1.5049858107|0.0|0.25|0.0|0.0357142857|0.2857142857|3.25|3.681631063629283|2.5|1.0|1.0|1.0|0.0|0.0|0.0|0.1642857143|0.1642857143|0.0|0|0|1
E-11.6|140.0|0.25|0.1071|1.5049858107|0.0|0.25|0.0|0.0357142857|0.2857142857|3.25|3.6808779067071282|2.5|1.0|1.0|1.0|0.0|0.0|0.0|0.1928571429|0.1928571429|0.0|0|0|1
E-11.7|140.0|0.3071428571|0.1107|1.50154977|0.0|0.3071428571|0.0|0.0928571429|0.2857142857|3.25|3.7467709885999065|2.5|1.0|1.0|1.0|0.0|0.0|0.0|0.1071428571|0.1071428571|0.0|0|0|1
E-11.8|140.0|0.3071428571|0.1107|1.50154977|0.0|0.3071428571|0.0|0.0928571429|0.2857142857|3.25|3.6287251164759025|2.5|1.0|1.0|1.0|0.0|0.0|0.0|0.1357142857|0.1357142857|0.0|0|0|1
E-11.9|140.0|0.2785714286|0.0931|1.3572360622|0.0|0.2785714286|0.0|0.0642857143|0.2857142857|3.25|3.742853622447815|2.5|1.0|1.0|1.0|0.0|0.0|0.0|0.1357142857|0.1357142857|0.0|0|0|1
E-11.10|140.0|0.2785714286|0.0931|1.3572360622|0.0|0.2785714286|0.0|0.0642857143|0.2857142857|3.25|3.7253401359649123|2.5|1.0|1.0|1.0|0.0|0.0|0.0|0.1642857143|0.1642857143|0.0|0|0|1
E-11.11|140.0|0.2785714286|0.1253|1.7180203319|0.0|0.2785714286|0.0|0.0642857143|0.2857142857|3.25|3.66930571798024|2.5|1.0|1.0|1.0|0.0|0.0|0.0|0.1357142857|0.1357142857|0.0|0|0|1
E-11.12|140.0|0.2785714286|0.1253|1.7180203319|0.0|0.2785714286|0.0|0.0642857143|0.2857142857|3.25|3.5744580535426986|2.5|1.0|1.0|1.0|0.0|0.0|0.0|0.1642857143|0.1642857143|0.0|0|0|1
E-11.13|140.0|0.2785714286|0.1038|1.216358395|0.0|0.2785714286|0.0|0.0642857143|0.2857142857|3.25|3.7157091033612293|2.5|1.0|1.0|1.0|0.0|0.0|0.0|0.1357142857|0.1357142857|0.0|0|0|1
E-11.14|140.0|0.2785714286|0.1038|1.216358395|0.0|0.2785714286|0.0|0.0642857143|0.2857142857|3.25|3.6376846498876043|2.5|1.0|1.0|1.0|0.0|0.0|0.0|0.1642857143|0.1642857143|0.0|0|0|1
E-11.15|140.0|0.2785714286|0.1077|1.6115030713|0.0|0.2785714286|0.0|0.0642857143|0.2857142857|3.25|3.7065442006611025|2.5|1.0|1.0|1.0000000000000002|0.0|0.0|0.0|0.1357142857|0.1357142857|0.0|0|0|1
E-11.16|140.0|0.2785714286|0.1077|1.6115030713|0.0|0.2785714286|0.0|0.0642857143|0.2857142857|3.25|3.61006654278861|2.5|1.0|1.0|1.0|0.0|0.0|0.0|0.1642857143|0.1642857143|0.0|0|0|1
E-11.17|140.0|0.2785714286|0.1107|1.511857892|0.0|0.2785714286|0.0|0.0642857143|0.2857142857|6.0|4.627121452298488|2.5|1.0|1.0|1.0|0.0|0.0|0.0|0.1357142857|0.1357142857|0.0|0|0|1
E-11.18|140.0|0.2785714286|0.1107|1.511857892|0.0|0.2785714286|0.0|0.0642857143|0.2857142857|6.0|4.443142257597546|2.5|1.0|1.0|1.0000000000000002|0.0|0.0|0.0|0.1642857143|0.1642857143|0.0|0|0|1
E-11.19|140.0|0.25|0.107|1.50154977|0.0|0.25|0.0|0.0357142857|0.2857142857|6.0|4.750667556853582|2.5|1.0|1.0|1.0|0.0|0.0|0.0|0.1642857143|0.1642857143|0.0|0|0|1
E-11.20|140.0|0.25|0.107|1.50154977|0.0|0.25|0.0|0.0357142857|0.2857142857|6.0|4.750667556853582|2.5|1.0|1.0|1.0|0.0|0.0|0.0|0.1928571429|0.1928571429|0.0|0|0|1
E-11.21|140.0|0.3071428571|0.1119|1.50154977|0.0|0.3071428571|0.0|0.0928571429|0.2857142857|6.0|4.493467362501905|2.5|1.0|1.0|1.0|0.0|0.0|0.0|0.1071428571|0.1071428571|0.0|0|0|1
